name	label	sub_class	dynamic_state	cyclic_uid	age	world_width	world_height	lat_dist	long_dist	vert_dist	rel_vel_x	rel_acc_x	rel_vel_z	rel_acc_z	abs_vel_x	abs_acc_x	abs_vel_z	abs_acc_z	POS_LEFT_x	POS_LEFT_z	POS_CENTER_x	POS_CENTER_z	POS_RIGHT_x	POS_RIGHT_z	POS_DISTANT_x	POS_DISTANT_z	lane_association	conf	is_cipv	uid	eba_bitmask	vacc_quality	x_center	y_center	d3_separation	width	height	sf_confirmed	class_right_id	class_left_id	score	is_occluded	x_l	y_lt	y_lb	x_s	y_st	y_sb	x_r	y_rt	y_rb	matching_radar_cluster_top_left_x	matching_radar_cluster_top_left_z	matching_radar_cluster_width	matching_radar_cluster_height	matching_radar_cluster_is_static	matching_radar_cluster_center_x	matching_radar_cluster_center_z	update_type	reaction_profile	tracked_vel_x	tracked_vel_z	rc_raw_meas_x	rc_raw_meas_z	rc_tracked_pos_x	rc_tracked_pos_z	rc_tracked_vel_x	rc_tracked_vel_z	rc_tracked_acc_x	rc_tracked_acc_z	fd_raw_meas_x	fd_raw_meas_z	fd_tracked_pos_x	fd_tracked_pos_z	fd_tracked_vel_x	fd_tracked_vel_z	fd_tracked_acc_x	fd_tracked_acc_z	rc_weight_pos	rc_weight_kinematics	of_ittc_z	of_rel_vel_z	width_est	orientation	sf_orientation	cametra_origin	debug_field_0	debug_field_1	debug_field_2	
1687017793399806	2	1	5	0	3	1.95	1.47	-54.86	71.83	-2.11	2.72	0.02	-0.40	0.03	0.25	0.02	4.50	0.16	-57.97	70.91	-56.25	71.83	-58.45	75.94	-60.17	75.02	0	0.000000	0	0	0x8C0	0	332.42	1033.22	353.47	95.24	40.95	1	1	0	83.305321	0	284.802124	1013.453491	1054.936768	353.469482	1012.741699	1053.692383	380.038940	1009.781799	1048.518311	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	1	0	0.25	-2.28	-22.01	27.74	-22.01	27.74	0.25	-2.28	0.02	0.03	-51.16	64.47	-54.94	71.94	0.25	-2.28	0.02	0.03	0.002473	0.002473	0.000000	0.000000	1	2.648970	-0.506892	1	0.000000	0.000000	0.000000	
1687017793499800	2	1	5	0	4	1.79	1.32	-57.02	71.81	-2.18	2.73	0.00	-0.18	0.09	0.09	0.00	4.54	0.16	-57.85	70.94	-56.28	71.80	-58.34	75.55	-59.91	74.68	0	0.000000	0	0	0x8C0	0	331.79	1037.20	351.79	86.12	36.72	1	1	0	74.650879	0	288.733643	1019.577576	1056.740234	351.786987	1018.838318	1055.554810	374.849487	1015.825562	1050.723755	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	2	0	0.09	-2.28	-21.69	27.32	-21.69	27.32	0.09	-2.28	0.00	0.09	-53.05	66.81	-55.52	71.92	0.09	-2.28	0.00	0.09	0.002473	0.002473	0.000000	0.000000	1	2.652649	-0.490539	0	0.000000	0.000000	0.000000	
1687017793600169	2	1	5	0	5	2.00	1.46	-54.28	71.34	-2.46	3.98	0.02	-0.29	0.06	0.27	0.02	3.70	0.15	-57.70	70.42	-55.92	71.34	-58.11	75.60	-59.89	74.68	0	0.000000	0	0	0x8C0	0	331.39	1043.71	351.65	101.18	40.79	1	1	0	80.821869	0	280.795410	1024.168457	1065.490479	351.651855	1023.318420	1064.109741	381.976807	1019.638245	1058.131348	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	1	0	0.27	-3.11	-19.86	25.01	-19.86	25.01	0.27	-3.11	0.02	0.06	-53.03	66.79	-54.37	71.45	0.27	-3.11	0.02	0.06	0.002473	0.002473	0.000000	0.000000	1	2.666651	-0.442290	0	0.000000	0.000000	0.000000	
1687017793699947	2	1	5	0	6	1.79	1.36	-56.59	71.35	-2.46	4.22	-0.01	0.31	0.06	-0.09	-0.01	3.70	0.15	-57.66	70.59	-56.04	71.35	-57.84	75.22	-59.46	74.46	0	0.000000	0	0	0x8C0	0	333.74	1044.99	348.63	95.33	38.12	1	1	0	74.963745	0	286.071655	1026.653564	1065.184814	348.632812	1025.926880	1064.050171	381.401733	1022.432434	1058.594604	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	2	0	-0.09	-3.10	-19.52	24.61	-19.52	24.61	-0.09	-3.10	-0.01	0.06	-46.41	58.51	-54.94	71.47	-0.09	-3.10	-0.01	0.06	0.002473	0.002473	0.000000	0.000000	1	2.672689	-0.495246	0	0.000000	0.000000	0.000000	
1687017793800256	2	1	5	0	7	2.04	1.39	-55.26	71.44	-2.58	3.90	-0.04	0.34	-0.00	-0.44	-0.04	3.82	0.15	-57.58	70.58	-55.73	71.44	-57.78	75.86	-59.63	75.00	0	0.000000	0	0	0x8C0	0	341.99	1047.80	359.28	108.02	38.70	1	1	0	77.577469	0	287.974365	1029.315552	1068.482910	359.284058	1028.456909	1067.152710	395.997070	1024.348022	1060.787109	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	1	0	-0.44	-3.02	-19.18	24.32	-19.18	24.32	-0.44	-3.02	-0.04	-0.00	-56.70	71.89	-55.34	71.55	-0.44	-3.02	-0.04	-0.00	0.002473	0.002473	0.000000	0.000000	1	2.706642	-0.323602	0	0.000000	0.000000	0.000000	
1687017793900185	2	1	2	0	8	1.85	1.34	-52.89	64.80	-2.33	3.45	0.02	-10.63	-0.25	-0.22	0.02	-6.75	0.16	-52.11	64.04	-50.42	64.80	-52.23	68.84	-53.92	68.08	0	0.000000	0	0	0x8C1	0	347.11	1050.15	363.27	109.72	41.23	1	1	2	82.671181	0	292.246704	1030.382202	1072.100952	363.267212	1029.536865	1070.768555	401.970825	1025.338379	1064.150146	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	1	0	-0.22	-13.63	-18.50	23.54	-18.50	23.54	-0.22	-13.63	0.02	-0.25	-51.70	65.76	-52.98	64.90	-0.22	-13.63	0.02	-0.25	0.002473	0.002473	0.000000	0.000000	1	2.720709	-0.383094	0	0.000000	0.000000	0.000000	
1687017794000042	2	1	2	0	9	1.79	1.36	-49.76	63.72	-2.28	3.69	0.08	-11.01	-0.37	0.30	0.08	-6.73	0.16	-51.02	63.06	-49.36	63.72	-50.94	67.69	-52.60	67.03	0	0.000000	0	0	0x8C1	0	357.84	1049.83	370.09	112.94	42.48	1	1	0	71.800163	0	301.366943	1029.329102	1072.257568	370.094849	1028.591187	1071.075562	414.307861	1024.451782	1064.444946	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	2	1	0.30	-13.66	-18.99	24.32	-18.99	24.32	0.30	-13.66	0.08	-0.37	-59.95	76.77	-51.56	63.82	0.30	-13.66	0.08	-0.37	0.002473	0.002473	0.000000	0.000000	1	2.726167	-0.304130	0	0.000000	0.000000	0.000000	
1687017794099906	2	1	2	0	10	1.79	1.36	-48.92	62.64	-2.31	4.14	0.14	-11.05	-0.34	0.75	0.14	-6.72	0.16	-50.18	61.98	-48.52	62.63	-50.07	66.61	-51.74	65.96	0	0.000000	0	0	0x18C1	0	358.09	1052.44	370.11	115.58	43.22	1	1	0	66.519318	0	300.293945	1031.595581	1075.272339	370.109497	1030.831421	1074.054810	415.878662	1026.482178	1067.124268	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	2	1	0.75	-13.69	-18.39	23.55	-18.39	23.55	0.75	-13.69	0.14	-0.34	-56.60	72.47	-50.33	62.73	0.75	-13.69	0.14	-0.34	0.002473	0.002473	0.000000	0.000000	1	2.731712	-0.309494	0	0.000000	0.000000	0.000000	
1687017794199904	2	1	2	0	11	1.79	1.36	-48.04	61.58	-2.24	4.95	0.19	-10.77	-0.62	1.14	0.19	-6.70	0.16	-49.31	60.93	-47.64	61.57	-49.17	65.56	-50.84	64.92	0	0.000000	0	0	0x18C1	0	360.13	1051.72	371.88	118.24	43.97	1	1	0	57.343952	0	301.009399	1030.491699	1074.921875	371.879272	1029.738281	1073.706543	419.251099	1025.375122	1066.669189	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	2	1	1.14	-13.75	-18.39	23.57	-18.39	23.57	1.14	-13.75	0.19	-0.62	-45.81	58.72	-49.17	61.67	1.14	-13.75	0.19	-0.62	0.002473	0.002473	0.000000	0.000000	1	2.738050	-0.464642	0	0.000000	0.000000	0.000000	
1687017794300185	2	1	1	0	12	1.87	1.24	-52.74	66.80	-2.38	2.64	-0.17	-4.67	-0.65	-1.86	-0.17	-1.14	0.20	-53.12	66.16	-51.35	66.80	-52.89	71.01	-54.65	70.37	0	0.000000	0	0	0x18C0	0	371.76	1050.19	381.83	115.89	37.07	1	1	0	80.209091	0	313.815918	1032.372559	1069.800171	381.827759	1031.658447	1068.726562	429.707520	1027.291016	1062.161499	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	1	1	-1.86	-8.22	-18.55	23.97	-18.55	23.97	-1.86	-8.22	-0.17	-0.65	-59.06	76.33	-52.83	66.90	-1.86	-8.22	-0.17	-0.65	0.002473	0.002473	0.000000	0.000000	1	2.792386	-0.167495	0	0.000000	0.000000	0.000000	
1687017794400019	2	1	1	0	13	1.79	1.42	-51.23	66.37	-2.35	3.35	-0.13	-4.45	-0.49	-1.58	-0.13	-1.08	0.20	-53.21	66.08	-51.44	66.37	-52.12	70.59	-53.89	70.30	0	0.000000	0	0	0x18C0	0	375.86	1047.43	369.24	133.07	42.56	1	1	0	69.740288	0	309.318970	1026.443115	1069.184570	369.238037	1026.149536	1068.707520	442.392578	1022.078369	1062.093994	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	2	0	-1.58	-8.26	-18.56	24.04	-18.56	24.04	-1.58	-8.26	-0.13	-0.49	-61.40	79.54	-52.03	66.47	-1.58	-8.26	-0.13	-0.49	0.002473	0.002473	0.000000	0.000000	1	2.800274	-0.157512	0	0.000000	0.000000	0.000000	
